window_size,forecast_lag_min,input_start,input_end,max_available_coeffs,best_val_k,best_val_css,best_val_tss,best_val_hss,best_val_f1,elbow_k,elbow_val_css,elbow_tolerance,elbow_threshold_css,cv_selected_k,cv_css_mean,cv_tss_mean,cv_hss_mean,cv_f1_mean,cv_folds_used,cv_candidates
360,5,355,715,181,94,0.8181818181818182,0.8910514541387025,0.8910514541387025,0.9,42,0.8131868131868132,0.005,0.8131818181818182,43,0.8187739463601532,0.891081183302334,0.8911070393489021,0.899836943862101,3.0,"1,40,41,42,43,44,94,181"
360,15,345,705,181,76,0.7126436781609196,0.7671700223713647,0.8184001312590427,0.8322147651006712,72,0.7078651685393258,0.005,0.7076436781609196,72,0.737231182795699,0.8256064090201024,0.8351905347698428,0.8482283148949815,3.0,"1,70,71,72,73,74,76,181"
360,30,330,690,181,3,0.6451612903225806,0.7354586129753915,0.7659710794949833,0.7843137254901961,3,0.6451612903225806,0.005,0.6401612903225806,181,0.6773264861500156,0.7389839930180656,0.7898913126271735,0.8054232804232804,3.0,"1,2,3,4,5,181"
360,60,300,660,181,7,0.5212765957446809,0.5968400447427293,0.6607637652667915,0.6853146853146853,7,0.5212765957446809,0.005,0.5162765957446809,9,0.52629137676576,0.6085057067056424,0.6655915187724957,0.6896036433501743,3.0,"1,5,6,7,8,9,181"
360,120,240,600,181,111,0.34831460674157305,0.3774328859060403,0.4886676321506155,0.5166666666666667,111,0.34831460674157305,0.005,0.34331460674157305,110,0.47286442006269597,0.5359922195023449,0.6107761259453072,0.6369205468187892,3.0,"1,109,110,111,112,113,181"
180,5,355,715,91,23,0.8837209302325582,0.9432885906040269,0.9326734315812758,0.9382716049382716,23,0.8837209302325582,0.005,0.8787209302325582,24,0.8755681896208407,0.9424957484745334,0.9272358200149657,0.9332483630729245,3.0,"1,21,22,23,24,25,91"
180,15,345,705,91,19,0.7906976744186046,0.8432885906040268,0.8730999739424998,0.8831168831168831,19,0.7906976744186046,0.005,0.7856976744186046,19,0.7577060931899641,0.8498157901243726,0.8494428108011428,0.8614370276412453,3.0,"1,17,18,19,20,21,91"
180,30,330,690,91,28,0.6813186813186813,0.762695749440716,0.7943382213743793,0.8104575163398693,28,0.6813186813186813,0.005,0.6763186813186813,27,0.6915322580645161,0.7981076247228609,0.8012048263150167,0.8169934640522875,3.0,"1,26,27,28,29,30,91"
180,60,300,660,91,11,0.5473684210526316,0.6332214765100672,0.6838092074468888,0.7074829931972789,3,0.5425531914893617,0.005,0.5423684210526316,5,0.5805972437850996,0.6940316549766887,0.7120925418887852,0.7342463092463093,3.0,"1,2,3,4,5,11,91"
180,120,240,600,91,76,0.358695652173913,0.3990771812080536,0.49833260584897426,0.528,76,0.358695652173913,0.005,0.353695652173913,1,0.45796676441837736,0.5420741216948225,0.5994037244738314,0.6275252525252525,3.0,"1,74,75,76,77,78,91"
90,5,355,715,46,20,0.9186046511627907,0.980788590604027,0.9536537285024811,0.9575757575757575,20,0.9186046511627907,0.005,0.9136046511627907,18,0.8640552995391705,0.9296788072101476,0.9197425722061121,0.926299009632343,3.0,"1,18,19,20,21,22,46"
90,15,345,705,46,11,0.7777777777777778,0.8638143176733781,0.8638143176733781,0.875,11,0.7777777777777778,0.005,0.7727777777777778,12,0.7734587251828632,0.874838753398702,0.8604059556511182,0.871869845554056,3.0,"1,9,10,11,12,13,46"
90,30,330,690,46,21,0.7111111111111111,0.7888143176733782,0.8166999623613885,0.8311688311688312,21,0.7111111111111111,0.005,0.7061111111111111,20,0.661464126807564,0.7480545550619482,0.7777536910394179,0.79447837227438,3.0,"1,19,20,21,22,23,46"
90,60,300,660,46,13,0.5652173913043478,0.6365771812080538,0.7003445729756338,0.7222222222222222,13,0.5652173913043478,0.005,0.5602173913043478,46,0.5746714456391876,0.6799155830656956,0.7064306236135364,0.7284291187739464,3.0,"1,11,12,13,14,15,46"
90,120,240,600,46,44,0.3894736842105263,0.4457214765100672,0.5302042445612402,0.5606060606060606,36,0.3870967741935484,0.005,0.3844736842105263,1,0.4321236559139785,0.4969233333424911,0.5727903009300177,0.6006998974535493,3.0,"1,34,35,36,37,38,44,46"
45,5,355,715,23,11,0.8764044943820225,0.9649328859060402,0.9279672982022079,0.9341317365269461,11,0.8764044943820225,0.005,0.8714044943820225,10,0.8783353245718838,0.9537592459803967,0.928157275087493,0.9341678954389977,3.0,"1,9,10,11,12,13,23"
45,15,345,705,23,10,0.782608695652174,0.8865771812080538,0.8668452999398479,0.8780487804878049,10,0.782608695652174,0.005,0.7776086956521739,12,0.8185185185185185,0.880292519604638,0.8900903867892764,0.8988070752776635,3.0,"1,8,9,10,11,12,23"
45,30,330,690,23,11,0.7065217391304348,0.7990771812080537,0.8129560875688132,0.8280254777070064,11,0.7065217391304348,0.005,0.7015217391304348,12,0.710530218761587,0.7891802912375075,0.8164824984171268,0.8305692647429342,3.0,"1,9,10,11,12,13,23"
45,60,300,660,23,14,0.5151515151515151,0.6162472035794182,0.6534321719792439,0.68,14,0.5151515151515151,0.005,0.5101515151515151,12,0.5497424776362158,0.6230264633993339,0.6869319192615824,0.7093045843045843,3.0,"1,12,13,14,15,16,23"
45,120,240,600,23,21,0.2916666666666667,0.33210290827740474,0.4176689878314694,0.45161290322580644,21,0.2916666666666667,0.005,0.2866666666666667,19,0.46603970741901773,0.5122196671859159,0.6070836348994668,0.6323232323232323,3.0,"1,19,20,21,22,23"
