window_size,fft_bins_generated,total_coeffs_before_topk,n_coefficients,total_coeffs_after_topk,F1_score_weighted
360,181,543,5,15,0.8999583135997087
360,181,543,5,15,0.9032205584356549
360,181,543,10,30,0.9051254577303599
360,181,543,10,30,0.9046638796250207
360,181,543,20,60,0.8978256486007324
360,181,543,20,60,0.9003006268084262
360,181,543,30,90,0.9009827241770173
360,181,543,30,90,0.8969710801052256
360,181,543,40,120,0.8996667441050897
360,181,543,40,120,0.8976459100551489
360,181,543,50,150,0.9005774365655631
360,181,543,50,150,0.9016073224757162
180,91,273,5,15,0.897707161383226
180,91,273,5,15,0.901587687031398
180,91,273,10,30,0.9042918564106706
180,91,273,10,30,0.9015519870953806
180,91,273,20,60,0.8975493306805912
180,91,273,20,60,0.8989764434356129
180,91,273,30,90,0.8950761153355664
180,91,273,30,90,0.8932741932953322
180,91,273,40,120,0.9007813578944699
180,91,273,40,120,0.9026207672722751
180,91,273,50,150,0.8980342678235442
180,91,273,50,150,0.899520007790013
90,46,138,5,15,0.9013484765806083
90,46,138,5,15,0.9020553443191642
90,46,138,10,30,0.8961215444376099
90,46,138,10,30,0.8997217960799476
90,46,138,20,60,0.8998312211577219
90,46,138,20,60,0.9031820086528558
90,46,138,30,90,0.896546386881011
90,46,138,30,90,0.8979391713228649
90,46,138,40,120,0.902946815733538
90,46,138,40,120,0.8998362446648241
90,46,138,50,150,0.8992473337252841
90,46,138,50,150,0.9016142536506816
45,23,69,5,15,0.9024208521492768
45,23,69,5,15,0.9028912199268934
45,23,69,10,30,0.9026061964273789
45,23,69,10,30,0.9048207255105454
45,23,69,20,60,0.9000545191238447
45,23,69,20,60,0.9030080899981896
45,23,69,30,90,0.9033615191216797
45,23,69,30,90,0.9039489814874876
45,23,69,40,120,0.9033615191216797
45,23,69,40,120,0.9039489814874876
45,23,69,50,150,0.9033615191216797
45,23,69,50,150,0.9039489814874876
